x,y
1780.0,822.0
1002.0,786.0
1408.0,786.0
587.0,814.0
1496.0,761.0
722.0,775.0
1105.0,769.0
1616.0,842.0
1171.0,847.0
709.0,834.0
1059.0,854.0
1309.0,753.0
1245.0,773.0
1150.0,741.0
1453.0,740.0
745.0,811.0
1678.0,739.0
687.0,788.0
1280.0,784.0
1753.0,803.0
1168.0,787.0
1373.0,797.0
618.0,787.0
1518.0,840.0
1590.0,784.0
1810.0,747.0
1394.0,847.0
647.0,791.0
1700.0,798.0
1664.0,806.0
1142.0,809.0
1532.0,745.0
856.0,774.0
894.0,777.0
1483.0,806.0
978.0,768.0
1734.0,772.0
1313.0,812.0
1036.0,777.0
1623.0,777.0
439.0,817.0
828.0,784.0
1074.0,809.0
1070.0,775.0
1251.0,875.0
1869.0,759.0
945.0,773.0
797.0,780.0
1447.0,811.0
1111.0,809.0
1649.0,785.0
1207.0,783.0
771.0,783.0
1277.0,845.0
1417.0,757.0
1346.0,828.0
1556.0,823.0
1213.0,843.0
1648.0,1000.0
1240.0,830.0
1251.0,1027.0
1846.0,778.0
1552.0,791.0
1316.0,879.0
1832.0,779.0
1206.0,760.0
1386.0,788.0
973.0,774.0
884.0,779.0
1226.0,785.0
1048.0,775.0
812.0,779.0
930.0,774.0
876.0,773.0
768.0,777.0
724.0,779.0
