x,y
1332.0,1592.0
1443.0,1606.0
1501.0,1418.0
1596.0,1463.0
1556.0,1458.0
1567.0,1413.0
1721.0,1685.0
1546.0,1679.0
1419.0,1475.0
1778.0,1438.0
1786.0,1709.0
1823.0,1695.0
1623.0,1491.0
1628.0,1652.0
1899.0,1495.0
1890.0,1692.0
1678.0,1487.0
1476.0,1629.0
1829.0,1445.0
1540.0,1632.0
1715.0,1491.0
1468.0,1469.0
1587.0,1671.0
1927.0,1688.0
1587.0,1612.0
1944.0,1471.0
1478.0,1673.0
1249.0,1641.0
1218.0,1186.0
1986.0,1455.0
1340.0,1235.0
1006.0,1142.0
1117.0,1187.0
1734.0,1654.0
1682.0,1672.0
1851.0,1698.0
1505.0,1663.0
1985.0,1906.0
1988.0,1497.0
1647.0,1685.0
1764.0,1682.0
1356.0,1058.0
557.0,2572.0
1836.0,1287.0
752.0,2536.0
766.0,2570.0
544.0,2498.0
1511.0,1639.0
770.0,2523.0
1523.0,1419.0
1986.0,3000.0
364.0,2452.0
298.0,2491.0
329.0,2482.0
1980.0,1635.0
620.0,2609.0
286.0,2478.0
1106.0,1162.0
553.0,2488.0
770.0,2589.0
3306.0,1501.0
2420.0,1582.0
2879.0,1503.0
2635.0,1478.0
2592.0,1635.0
2524.0,1991.0
2701.0,1483.0
2144.0,1443.0
2764.0,1562.0
3143.0,1578.0
2357.0,2107.0
2182.0,1693.0
3829.0,1510.0
2684.0,1972.0
2668.0,1489.0
3129.0,1507.0
3368.0,1518.0
3733.0,1543.0
2561.0,1756.0
3886.0,1568.0
3785.0,1539.0
2372.0,1478.0
3416.0,1497.0
2339.0,1448.0
3775.0,1569.0
2532.0,1470.0
2491.0,1960.0
3114.0,1705.0
2730.0,1551.0
3690.0,1538.0
2107.0,1476.0
2582.0,2094.0
2068.0,1461.0
2507.0,1484.0
2528.0,1718.0
2509.0,2051.0
2671.0,1919.0
2830.0,1664.0
3141.0,1674.0
2693.0,1640.0
2666.0,1586.0
2789.0,1661.0
2513.0,1845.0
3002.0,1507.0
3938.0,1509.0
2550.0,1514.0
2309.0,1458.0
2194.0,1660.0
2295.0,1487.0
2825.0,1523.0
2513.0,2096.0
3840.0,1531.0
2463.0,2006.0
3568.0,1531.0
2322.0,2078.0
3570.0,1663.0
2457.0,1468.0
3069.0,1493.0
2345.0,1706.0
2551.0,2140.0
2333.0,1501.0
2102.0,1664.0
3215.0,1509.0
2218.0,1468.0
2492.0,1725.0
2628.0,2028.0
2417.0,1714.0
3101.0,1511.0
2485.0,1471.0
2829.0,1449.0
2463.0,2082.0
3321.0,1521.0
2933.0,1505.0
2954.0,1576.0
3633.0,1541.0
2379.0,1709.0
2605.0,1481.0
2609.0,1666.0
2273.0,1661.0
3175.0,1563.0
2797.0,1512.0
2670.0,1702.0
2870.0,1474.0
2879.0,1651.0
3268.0,1521.0
2429.0,2116.0
2487.0,1600.0
2094.0,1270.0
3185.0,1653.0
3213.0,1704.0
2731.0,1500.0
2779.0,1720.0
2538.0,1953.0
2171.0,1434.0
2183.0,1476.0
3605.0,1509.0
2029.0,1894.0
2024.0,1481.0
2725.0,1725.0
2801.0,1579.0
2604.0,1737.0
2131.0,1464.0
2707.0,2091.0
3191.0,1525.0
2910.0,1616.0
2338.0,2041.0
3859.0,1564.0
2224.0,1681.0
2408.0,1482.0
2234.0,2024.0
2640.0,1719.0
2673.0,2066.0
2388.0,2174.0
2445.0,1617.0
2731.0,1636.0
2443.0,1682.0
2259.0,1475.0
2396.0,2118.0
2547.0,1844.0
2624.0,1286.0
2446.0,2155.0
2703.0,1703.0
2562.0,1708.0
2576.0,1237.0
2583.0,1468.0
2430.0,1467.0
2393.0,2017.0
2555.0,2038.0
2495.0,2150.0
2501.0,1320.0
2239.0,1499.0
2376.0,1999.0
2339.0,2058.0
