x,y
1043.0,1300.0
1266.0,1988.0
1848.0,1254.0
1737.0,1136.0
1751.0,1375.0
971.0,1542.0
1620.0,1764.0
790.0,1441.0
1498.0,1709.0
987.0,1725.0
1948.0,1687.0
1836.0,1696.0
1483.0,1616.0
964.0,1475.0
1575.0,1123.0
1145.0,1283.0
1042.0,1748.0
1396.0,1211.0
1567.0,1512.0
1694.0,1182.0
1438.0,1675.0
914.0,1332.0
1484.0,1177.0
1481.0,1510.0
1073.0,1536.0
1121.0,2373.0
837.0,1640.0
1517.0,1626.0
1305.0,1167.0
890.0,1440.0
1674.0,1681.0
1781.0,1717.0
1244.0,1199.0
941.0,1700.0
1099.0,2240.0
855.0,1540.0
1622.0,1150.0
1090.0,1596.0
1338.0,1695.0
1985.0,1528.0
1425.0,1725.0
1168.0,1169.0
1580.0,1399.0
1320.0,1749.0
1321.0,1535.0
1635.0,1252.0
1188.0,2075.0
1133.0,1192.0
1106.0,1387.0
1247.0,1475.0
1225.0,1278.0
1808.0,1588.0
984.0,1324.0
1147.0,1486.0
1758.0,1279.0
1038.0,1377.0
1551.0,1223.0
1215.0,1715.0
1483.0,1263.0
1614.0,1182.0
1433.0,1540.0
1358.0,1569.0
1923.0,1523.0
1968.0,1761.0
893.0,1385.0
1288.0,1240.0
960.0,1379.0
1721.0,2368.0
1738.0,1710.0
1060.0,1459.0
1642.0,1195.0
1224.0,1229.0
1015.0,1174.0
1096.0,1471.0
1640.0,1349.0
1876.0,1653.0
1580.0,1593.0
1562.0,1683.0
1257.0,1684.0
1730.0,1573.0
1483.0,1396.0
1190.0,1547.0
1673.0,1284.0
1345.0,1431.0
1310.0,1378.0
1394.0,1558.0
1373.0,1414.0
1325.0,1270.0
1987.0,1979.0
1452.0,1290.0
1510.0,1351.0
856.0,1406.0
1564.0,1147.0
1298.0,1621.0
1605.0,1703.0
1498.0,1322.0
1214.0,1665.0
1448.0,1419.0
1078.0,2652.0
1569.0,1318.0
1624.0,1600.0
1896.0,1601.0
1239.0,1366.0
1825.0,1624.0
1606.0,1338.0
1934.0,1610.0
1208.0,1322.0
1178.0,1430.0
1355.0,1308.0
1727.0,1664.0
923.0,1471.0
1724.0,1324.0
1410.0,1423.0
1592.0,1253.0
1665.0,1263.0
1144.0,2660.0
1402.0,1346.0
1727.0,1204.0
1441.0,1211.0
1982.0,1603.0
1723.0,1253.0
1205.0,1447.0
1320.0,1186.0
1980.0,1648.0
1557.0,1337.0
1352.0,1332.0
1159.0,1350.0
1695.0,1343.0
1275.0,1434.0
1355.0,1205.0
1647.0,1621.0
1217.0,1357.0
1303.0,1331.0
1263.0,1427.0
1299.0,1450.0
1644.0,1650.0
1544.0,1621.0
1577.0,1284.0
883.0,1414.0
1390.0,1196.0
1586.0,1237.0
1581.0,1269.0
1588.0,1139.0
1687.0,1262.0
2439.0,1630.0
2445.0,2548.0
2041.0,1578.0
2014.0,1525.0
2328.0,1579.0
2101.0,1588.0
2322.0,2565.0
2089.0,1536.0
2326.0,1658.0
2223.0,1573.0
2018.0,1751.0
2262.0,1638.0
2198.0,1653.0
2300.0,2731.0
2050.0,1730.0
2122.0,1667.0
2022.0,1959.0
2021.0,1652.0
2157.0,1578.0
2162.0,1667.0
2018.0,1548.0
2069.0,1668.0
2018.0,1515.0
2308.0,2637.0
2028.0,1553.0
2023.0,1943.0
3585.0,827.0
2341.0,2720.0
2024.0,1621.0
2022.0,1537.0
2095.0,1564.0
2017.0,1771.0
2206.0,1554.0
2116.0,1615.0
2025.0,2028.0
2039.0,1613.0
2110.0,1628.0
2233.0,1598.0
2789.0,520.0
2025.0,1693.0
2193.0,1615.0
